# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:(.)Omega_m            15:(.)Omega_r            16:(.)rho_scf            17:(.)p_scf              18:(.)p_prime_scf        19:phi_scf               20:phi'_scf              21:V_scf                 22:V'_scf                23:V''_scf               24:w_scf                 25:Omega_scf             26:(.)rho_tot            27:(.)p_tot              28:(.)p_tot_prime        29:gr.fac. D             30:gr.fac. f          
       8.980856820338e+13       9.372567782374e-26       5.162291927263e-09       1.739952088621e+22       1.372907495785e+04       1.528704357780e-10       1.232988564722e+18       2.980024643922e-09       1.789988176302e+44       1.802925976245e+33       9.671484897155e+33       1.237445094279e+44       3.027433270696e+44       3.790144933818e-11       9.999999999621e-01       4.623866301566e+04      -4.622894000697e+04      -5.651209995186e+09      -4.583040000000e+00       6.013719838019e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.997897212407e-01       1.527322285291e-40       3.027433270696e+44       1.009144423527e+44      -7.820469616928e+52       9.736940800724e-06       1.646118170945e+00 
       8.884838741853e+13       9.576240299030e-26       5.216861609370e-09       1.702945872203e+22       1.372907495785e+04       1.545225001460e-10       1.219806170753e+18       3.012229644872e-09       1.714657057307e+44       1.745714534524e+33       9.364584002813e+33       1.185367586236e+44       2.900024643655e+44       3.831104870659e-11       9.999999999617e-01       4.623835937510e+04      -4.622924364753e+04      -5.241600129941e+09      -4.583040000000e+00       5.885816880702e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.998028535681e-01       1.594412636330e-40       2.900024643655e+44       9.666748811811e+43      -7.411254369381e+52       9.909227121714e-06       1.617498013177e+00 
       8.789847232612e+13       9.784338763361e-26       5.273250280879e-09       1.666726723466e+22       1.372907495785e+04       1.561924183041e-10       1.206764715246e+18       3.044782683912e-09       1.642496226007e+44       1.690318557835e+33       9.067421856961e+33       1.135481744601e+44       2.777977970715e+44       3.872507459815e-11       9.999999999613e-01       4.623807469937e+04      -4.622952832327e+04      -4.861679524415e+09      -4.583040000000e+00       5.760634230725e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.998151658312e-01       1.664450733116e-40       2.777977970715e+44       9.259926568692e+43      -7.023451789746e+52       1.008151344270e-05       1.589856054112e+00 
       8.695871317136e+13       9.996959354231e-26       5.331457941793e-09       1.631277902639e+22       1.372907495785e+04       1.578803831975e-10       1.193862691368e+18       3.077687522275e-09       1.573372261788e+44       1.636680436839e+33       8.779689424261e+33       1.087695333746e+44       2.661067595638e+44       3.914357485009e-11       9.999999999609e-01       4.623780780396e+04      -4.622979521868e+04      -4.509296247798e+09      -4.583040000000e+00       5.638114031241e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.998267092309e-01       1.737566076102e-40       2.661067595638e+44       8.870225318445e+43      -6.655941435054e+52       1.025379976369e-05       1.563142986100e+00 
       8.602900137289e+13       1.021420034076e-25       5.387846613303e-09       1.596583025983e+22       1.372907495785e+04       1.595865898564e-10       1.181098608398e+18       3.110947961842e-09       1.507157359005e+44       1.584744390290e+33       8.501087475851e+33       1.041919999751e+44       2.549077358857e+44       3.956659781665e-11       9.999999999604e-01       4.623755757834e+04      -4.623004544430e+04      -4.182454345108e+09      -4.583040000000e+00       5.518199655954e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.998375317723e-01       1.813893855268e-40       2.549077358857e+44       8.496924529186e+43      -6.307661490828e+52       1.042608608468e-05       1.537312760639e+00 
       8.510922951025e+13       1.043616212747e-25       5.446054274216e-09       1.562626058217e+22       1.372907495785e+04       1.613112354189e-10       1.168470991551e+18       3.144567845581e-09       1.443729090674e+44       1.534456407022e+33       8.231326278169e+33       9.980711070464e+43       2.441800197818e+44       3.999419237461e-11       9.999999999600e-01       4.623732298134e+04      -4.623028004129e+04      -3.879302531507e+09      -4.583040000000e+00       5.400835682760e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.998476784641e-01       1.893575200078e-40       2.441800197818e+44       8.139333992402e+43      -5.977605703280e+52       1.059837240567e-05       1.512322323468e+00 
       8.419929131143e+13       1.066294730066e-25       5.506080924533e-09       1.529391305106e+22       1.372907495785e+04       1.630545191535e-10       1.155978381813e+18       3.178551057989e-09       1.382970182115e+44       1.485764189782e+33       7.970125291634e+33       9.560675819248e+43       2.339037764134e+44       4.042640792897e-11       9.999999999596e-01       4.623710303685e+04      -4.623049998579e+04      -3.598123706616e+09      -4.583040000000e+00       5.285967868291e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.998571915059e-01       1.976757440424e-40       2.339037764134e+44       7.796792546798e+43      -5.664820472031e+52       1.077065872666e-05       1.488131375091e+00 
       8.329908164066e+13       1.089466067586e-25       5.564288585447e-09       1.496863406209e+22       1.372907495785e+04       1.648166424821e-10       1.143619335765e+18       3.212901525545e-09       1.324768294116e+44       1.438617100842e+33       7.717212878903e+33       9.158317626413e+43       2.240600056849e+44       4.086329441865e-11       9.999999999591e-01       4.623689682968e+04      -4.623070619296e+04      -3.337325228653e+09      -4.583040000000e+00       5.173543122900e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.998661104629e-01       2.063594379030e-40       2.240600056849e+44       7.468666855858e+43      -5.368402094962e+52       1.094294504765e-05       1.464702153923e+00 
       8.240849648618e+13       1.113140934630e-25       5.624315235764e-09       1.465027327780e+22       1.372907495785e+04       1.665978090033e-10       1.131392425423e+18       3.247623217158e-09       1.269015815230e+44       1.392966109339e+33       7.472326022381e+33       8.772892558222e+43       2.146305071141e+44       4.130490232223e-11       9.999999999587e-01       4.623670350182e+04      -4.623089952082e+04      -3.095429893425e+09      -4.583040000000e+00       5.063509486113e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.998744724306e-01       2.154246575825e-40       2.146305071141e+44       7.154350236842e+43      -5.087494157226e+52       1.111523136864e-05       1.441999239600e+00 
       8.152743294829e+13       1.137330273252e-25       5.686160875484e-09       1.433868355815e+22       1.372907495785e+04       1.683982245162e-10       1.119296238068e+18       3.282720144632e-09       1.215609662805e+44       1.348763740283e+33       7.235210050689e+33       8.403687989172e+43       2.055978461808e+44       4.175128266385e-11       9.999999999582e-01       4.623652224887e+04      -4.623108077377e+04      -2.871067567176e+09      -4.583040000000e+00       4.955816102598e-14       1.387014045340e+05      -8.772247059828e+05       5.548056181354e+06      -9.998823121889e-01       2.248881644811e-40       2.055978461808e+44       6.853261539073e+43      -4.821285056888e+52       1.128751768963e-05       1.419989374307e+00 
